,data_properties.twitter_followers,data_properties.facebook_followers,data_properties.instagram_followers,data_properties.ppp_country
0,57518,47636,10836,42609
1,161302,0,0,57467
2,151333,2509088,574057,42609
3,52980,46268,4560,42609
4,158313,330064,75019,57467
5,155375,372754,67761,57467
6,150993,0,70184,57467
7,125365,162165,32607,44025
8,147780,206834,75733,44025
9,121407,412351,0,42609
10,142470,201454,72152,42609
11,136913,160231,93439,42609
12,136578,134651,11906,42609
13,134286,201423,22121,42609
14,132626,570170,16327,42609
15,129861,190351,49925,57467
16,127251,27124,33281,42609
17,123586,25999,18831,57467
18,55449,58853,129,42609
19,76513,331102,54045,42609
20,119390,135113,14155,42609
21,117043,84916,41513,57467
22,851691,891901,0,42609
23,112015,90911,36229,42609
24,22426,11815,4356,42609
25,71930,32184,0,42609
26,67241,76532,15684,42609
27,109329,87362,31986,42609
28,107402,93399,66175,42609
29,105290,79822,18715,42609
30,101470,210569,65230,57467
31,99875,218597,40933,57467
32,96327,92192,65735,42609
33,94483,48299,16197,42609
34,93960,116443,70545,42609
35,93005,83455,48458,42609
36,91674,0,360,42609
37,90727,106833,74765,42609
38,89564,48159,15020,42609
39,48927,29894,6958,42609
40,76240,120346,35598,42609
41,88593,39438,13901,42609
42,88422,44158,11654,42609
43,86779,1223,3100,42609
44,85941,146989,37858,57467
45,83700,50611,18418,42609
46,77901,66745,41695,57467
47,76952,247840,27815,42609
48,76666,48286,3584,42609
49,76659,376039,115598,42609
50,76513,331102,54044,42609
51,76455,109993,1574,42609
52,76439,20780,617,42609
53,75886,48062,14159,42609
54,75835,93046,16195,42609
55,74779,201279,24879,42609
56,74426,156,7295,42609
57,74425,88929,10277,42609
58,74085,910490,511,42609
59,72927,99101,11301,42609
60,71166,23995,9329,42609
61,69512,58275,5580,42609
62,67162,20388,11677,42609
63,65814,42763,4558,42609
64,30799085,109119554,58200002,42609
65,29309163,103017780,56554645,42609
66,27665140,36505473,27998905,57467
67,18315482,73607422,22029611,42609
68,17721085,41759775,16100000,42609
69,21407768,65250602,21955060,16136
70,24672352,17123269,11379200,57467
71,13591717,37898976,11068128,42609
72,10093756,31725868,6787934,42609
73,11975464,47777609,11433839,42609
74,6066982,32605324,9571766,42609
75,4476749,47200916,12533000,42609
76,9070657,4764,0,17862
77,3872452,0,0,17862
78,3459438,2705286,1608601,17862
79,3191601,2531372,1912785,17862
80,3070718,1634674,0,17862
81,2941617,1113551,1020901,17862
82,2836703,0,1897712,17862
83,2303163,432185,1017914,17862
84,2142100,1779167,750691,17862
85,1587198,58516,909957,17862
86,1477423,739628,1578147,17862
87,1159742,843313,712986,17862
88,1031611,0,1272211,17862
89,702138,92498,748444,17862
90,464417,0,419623,17862
91,464417,0,419623,17862
92,435645,1938844,1277602,17862
93,300383,190948,0,17862
94,242523,321300,645654,17862
95,235756,35106,1047541,17862
96,0,8009,118814,17862
97,0,215056,407591,17862
98,0,0,0,17862
99,5928690,11560886,2440667,17862
